winner,loser,degree,expert
7138,6029,2,KI
5087,4008,2,KI
7114,6092,1,KI
6088,6053,3,KI
4035,7060,3,KI
4026,7045,3,KI
6062,7109,1,KI
6086,5064,2,KI
6088,6025,1,KI
6096,7136,1,KI
8083,7060,2,KI
7136,7060,1,KI
6062,6029,2,KI
6095,6025,2,KI
6094,7114,0,KI
6068,7163,0,KI
8083,7109,1,KI
8083,6029,1,KI
6046,7153,0,KI
6088,7138,3,KI
5064,6046,1,KI
7163,7045,1,KI
6062,7045,2,KI
6068,7136,2,KI
7138,7064,2,KI
5064,7163,0,KI
6088,6046,3,KI
6086,6053,2,KI
7138,6053,0,KI
4008,7060,3,KI
6095,8083,0,KI
7109,5118,0,KI
6029,7128,0,KI
7045,5118,0,KI
4035,5087,3,KI
4035,7128,3,KI
6062,6053,0,KI
8083,7163,2,KI
4026,4008,0,KI
6094,7128,1,KI
6062,7114,0,KI
4035,7116,3,KI
6086,7116,0,KI
6025,7045,1,KI
7138,4026,0,KI
6095,4026,0,KI
4026,6053,1,KI
6068,6053,0,KI
6095,4008,0,KI
6068,7109,0,KI
7114,7138,1,KI
6046,7045,2,KI
6025,7128,2,KI
6053,5118,1,KI
6046,7128,1,KI
7116,6062,2,KI
6062,6096,0,KI
4035,6096,3,KI
5087,6062,1,KI
6025,6046,1,KI
6088,7114,3,KI
7116,7136,3,KI
6088,7045,3,KI
6068,8083,0,KI
6088,6095,2,KI
6094,7153,0,KI
6086,4026,1,KI
6025,7114,0,KI
7136,5118,0,KI
6046,6029,1,KI
6095,7138,2,KI
5064,7109,0,KI
6096,7138,1,KI
6068,6029,0,KI
8083,6092,1,KI
7064,7109,0,KI
4008,6053,2,KI
7128,7153,0,KI
6046,6096,0,KI
6088,4008,1,KI
7138,8083,0,KI
6088,7163,2,KI
5064,6053,0,KI
6025,6029,1,KI
6096,5064,1,KI
6096,7163,1,KI
7045,5064,0,KI
4008,5064,2,KI
7045,7109,0,KI
4035,7163,3,KI
5087,6029,3,KI
7136,7109,0,KI
6046,5118,1,KI
7153,6029,1,KI
6086,6095,1,KI
7064,7163,0,KI
7116,6046,2,KI
4008,7163,1,KI
4035,6094,3,KI
7060,5118,1,KI
6095,6096,2,KI
6046,6094,0,KI
4035,6053,2,KI
7114,7045,1,KI
7064,6094,0,KI
5087,6053,2,KI
5087,6094,3,KI
7064,6092,0,KI
7138,6062,0,KI
7136,7114,0,KI
7114,5064,1,KI
5087,6088,0,KI
6053,6025,1,KI
6068,7128,1,KI
5087,4026,2,KI
7116,5064,2,KI
6062,7064,2,KI
6088,6096,2,KI
6046,6068,0,KI
4008,6092,1,KI
4026,7153,0,KI
6025,7064,1,KI
7128,7109,0,KI
7116,8083,1,KI
4035,7136,3,KI
4008,5118,1,KI
4035,6029,3,KI
6025,7163,0,KI
6088,6092,2,KI
6029,6092,0,KI
6053,7128,1,KI
6086,7109,1,KI
6096,6092,0,KI
5087,6025,3,KI
7138,5118,0,KI
6088,8083,2,KI
6088,5118,3,KI
6053,8083,0,KI
4026,7064,1,KI
6025,6092,1,KI
6088,4026,2,KI
4008,7128,2,KI
6086,7060,3,KI
6029,7045,1,KI
7116,7060,3,KI
6086,6062,0,KI
6025,7136,1,KI
4026,6029,3,KI
7116,7163,3,KI
6096,6053,2,KI
7116,6053,2,KI
6094,6092,0,KI
6086,6068,2,KI
7136,6053,0,KI
4035,4026,2,KI
6086,6029,2,KI
6025,8083,0,KI
7138,6068,0,KI
4026,5064,2,KI
4035,7153,3,KI
4008,6068,2,KI
4035,7114,3,KI
6068,6092,1,KI
6092,7153,0,KI
6046,4026,0,KI
4008,7114,1,KI
5087,7109,3,KI
7116,7128,2,KI
7116,6096,2,KI
5087,7116,2,KI
6029,6094,0,KI
6095,5118,2,KI
7136,7128,0,KI
4026,6094,0,KI
7138,7128,0,KI
5064,5118,0,KI
4035,6092,3,KI
5087,7136,3,KI
6025,5118,1,KI
7138,7153,0,KI
6068,6094,0,KI
7138,6025,0,KI
6094,7045,1,KI
4035,6088,2,KI
6094,8083,0,KI
6053,7109,0,KI
7064,7045,1,KI
7138,7045,1,KI
5087,6092,3,KI
6053,7060,0,KI
8083,7136,1,KI
4026,7060,2,KI
6086,7045,2,KI
5087,7045,3,KI
7138,7109,0,KI
5087,7114,2,KI
7114,6068,2,KI
6095,6094,1,KI
7153,6068,1,KI
6095,7128,1,KI
5087,7153,3,KI
6029,7060,0,KI
8083,7045,1,KI
6086,6092,2,KI
4026,7114,0,KI
6096,6094,0,KI
4008,7136,1,KI
