winner,loser,degree,expert
5087,6088,1,SB
6025,6053,0,SB
6068,7128,0,SB
5087,4026,2,SB
7116,5064,1,SB
7064,6062,0,SB
6096,6088,0,SB
6068,6046,1,SB
4008,6092,1,SB
4026,7153,0,SB
7064,6025,1,SB
7109,7128,1,SB
7116,8083,1,SB
4035,7136,2,SB
5118,4008,1,SB
4035,6029,2,SB
6025,7163,0,SB
6088,6092,1,SB
6092,6029,1,SB
7128,6053,0,SB
6086,7109,1,SB
6096,6092,1,SB
5087,6025,2,SB
7138,5118,1,SB
6088,8083,1,SB
6088,5118,1,SB
8083,6053,1,SB
7064,4026,0,SB
6025,6092,0,SB
4026,6088,0,SB
4008,7128,1,SB
6086,7060,1,SB
7045,6029,0,SB
7116,7060,1,SB
6086,6062,1,SB
6025,7136,1,SB
4026,6029,1,SB
7116,7163,1,SB
6053,6096,1,SB
7116,6053,1,SB
6094,6092,0,SB
6086,6068,1,SB
7136,6053,0,SB
4035,4026,0,SB
6086,6029,1,SB
8083,6025,1,SB
6068,7138,1,SB
4026,5064,1,SB
4035,7153,1,SB
6068,4008,0,SB
4035,7114,1,SB
6068,6092,0,SB
6092,7153,0,SB
4026,6046,1,SB
4008,7114,0,SB
5087,7109,2,SB
7116,7128,1,SB
7116,6096,1,SB
5087,7116,1,SB
6029,6094,0,SB
6095,5118,1,SB
7136,7128,0,SB
4026,6094,0,SB
7138,7128,1,SB
5064,5118,0,SB
4035,6092,1,SB
5087,7136,2,SB
6025,5118,0,SB
7138,7153,0,SB
6068,6094,1,SB
7138,6025,1,SB
7045,6094,0,SB
4035,6088,2,SB
8083,6094,1,SB
6053,7109,0,SB
7064,7045,1,SB
7045,7138,0,SB
5087,6092,2,SB
6053,7060,0,SB
8083,7136,1,SB
4026,7060,1,SB
6086,7045,1,SB
5087,7045,2,SB
7109,7138,1,SB
5087,7114,2,SB
6068,7114,0,SB
6095,6094,0,SB
6068,7153,0,SB
6095,7128,0,SB
5087,7153,2,SB
6029,7060,0,SB
8083,7045,1,SB
6086,6092,1,SB
4026,7114,0,SB
6096,6094,0,SB
4008,7136,1,SB
6062,6094,0,SB
6094,5118,0,SB
6068,6025,0,SB
7045,7136,0,SB
5087,7163,2,SB
7064,6086,0,SB
4035,5118,2,SB
7060,7153,0,SB
4035,7109,2,SB
5087,6096,2,SB
4035,6086,1,SB
4026,7136,1,SB
7116,6029,1,SB
7114,7153,0,SB
6088,6029,1,SB
7064,7060,0,SB
6062,5118,0,SB
6062,6092,0,SB
4035,4008,1,SB
6086,8083,0,SB
6062,8083,0,SB
7045,7128,0,SB
6062,7060,0,SB
7116,7153,1,SB
5064,8083,0,SB
4008,7109,1,SB
7045,7153,0,SB
4026,5118,1,SB
6068,7064,0,SB
5087,8083,1,SB
6053,7163,0,SB
8083,6046,1,SB
7064,5118,0,SB
4008,7138,1,SB
6062,7153,0,SB
6088,7109,1,SB
6062,5064,0,SB
6086,6096,0,SB
6086,6025,1,SB
6029,7163,0,SB
6046,7136,0,SB
4026,7128,1,SB
6095,7045,1,SB
6029,5064,0,SB
7116,4026,0,SB
6094,7163,0,SB
6095,7060,1,SB
6096,7109,0,SB
6094,7060,0,SB
7114,7109,0,SB
6095,6029,1,SB
7045,6053,0,SB
4035,7138,1,SB
7138,7060,0,SB
6095,6068,1,SB
6088,6094,1,SB
4026,6096,1,SB
6092,7060,0,SB
6029,7136,0,SB
5118,7153,0,SB
6068,5064,0,SB
6095,6092,0,SB
7163,7136,1,SB
5118,7163,1,SB
7114,7060,1,SB
6086,6046,1,SB
5064,6025,0,SB
7109,6092,0,SB
6025,7153,0,SB
6088,7064,1,SB
5087,7128,2,SB
6062,6025,0,SB
7114,6029,1,SB
6046,7064,0,SB
7064,7136,0,SB
4026,8083,0,SB
5087,7138,2,SB
7045,7060,0,SB
8083,5118,0,SB
6068,7060,0,SB
4008,6029,1,SB
6088,6062,1,SB
6088,7136,1,SB
4026,6092,1,SB
5118,6096,1,SB
8083,7064,1,SB
7116,7064,1,SB
6095,7109,1,SB
7114,6046,1,SB
7116,6094,1,SB
6086,7138,1,SB
6062,7163,0,SB
5064,7060,0,SB
6025,7060,0,SB
5087,6095,1,SB
6053,7153,0,SB
6046,6092,0,SB
6046,6053,0,SB
8083,7128,1,SB
6046,7163,0,SB
4035,6062,1,SB
7114,7163,0,SB
7116,6025,0,SB
5064,7153,0,SB
5087,6086,1,SB
4035,5064,1,SB
7163,7153,0,SB
7163,7060,0,SB
4035,8083,1,SB
7138,6094,1,SB
6062,4026,0,SB
8083,4008,0,SB
7116,6068,1,SB
6095,6053,1,SB
8083,6096,1,SB
7045,6092,0,SB
6029,7064,0,SB
6086,7114,0,SB
5087,7060,1,SB
4008,6094,1,SB
6088,7128,1,SB
6095,7163,1,SB
7116,7109,1,SB
7114,6096,1,SB
7064,6053,0,SB
7116,6092,1,SB
6086,7128,1,SB
7064,7128,0,SB
6095,5064,0,SB
7128,7114,0,SB
6095,7064,1,SB
7136,6094,0,SB
7138,6092,1,SB
4026,7109,0,SB
7064,7153,0,SB
5064,6092,0,SB
6046,6062,0,SB
7114,6053,1,SB
7138,6046,1,SB
7138,7163,1,SB
7116,4008,0,SB
6088,5064,1,SB
6095,6062,1,SB
6086,7153,1,SB
7109,7163,0,SB
6062,7136,0,SB
7064,5064,0,SB
5064,7128,0,SB
6062,7128,0,SB
6096,6025,0,SB
4026,6068,1,SB
7116,7045,1,SB
6046,7109,0,SB
6086,5118,0,SB
6096,6068,1,SB
4008,7045,1,SB
8083,7114,0,SB
4008,6096,1,SB
4026,7163,0,SB
6095,6046,1,SB
6086,7163,1,SB
6086,6094,1,SB
6029,6053,0,SB
4035,6068,1,SB
7064,4008,0,SB
4008,6025,1,SB
6096,7128,0,SB
7138,5064,0,SB
5118,6092,1,SB
4035,7045,1,SB
6068,6088,0,SB
7163,6092,0,SB
5064,6094,0,SB
4035,6025,1,SB
6086,6088,0,SB
7116,7114,0,SB
6046,7060,0,SB
7136,7153,0,SB
5087,5118,2,SB
5087,6046,2,SB
6029,5118,0,SB
5087,7064,2,SB
7064,6096,0,SB
6095,7114,1,SB
7114,5118,0,SB
6095,7153,1,SB
7064,7114,0,SB
6086,4008,1,SB
7138,7136,0,SB
6086,7136,1,SB
6094,6053,0,SB
6096,7153,0,SB
7128,7060,0,SB
6095,7116,0,SB
5064,7136,0,SB
6046,4008,0,SB
4008,7153,0,SB
4035,7064,1,SB
6096,7060,0,SB
7163,7128,1,SB
7128,5118,0,SB
6053,6092,0,SB
6094,6025,0,SB
7136,6092,0,SB
7138,7116,0,SB
8083,7153,1,SB
6068,7045,1,SB
6029,6096,0,SB
6029,7109,0,SB
7116,5118,1,SB
4008,6062,1,SB
7116,6088,1,SB
6088,7153,1,SB
7045,6096,0,SB
4026,6025,0,SB
7128,6092,0,SB
7109,7060,0,SB
4035,6095,1,SB
6088,7060,1,SB
6025,7109,0,SB
6094,7109,0,SB
6068,6062,0,SB
6095,7136,1,SB
5087,5064,2,SB
4035,6046,1,SB
7109,7153,0,SB
6068,5118,1,SB
5087,6068,1,SB
