"Cow","NV_DW_SB_TM_experts_mean","NV_DW_SB_TM_experts_sd"
"6092",9.36604146955499,0.596703530882352
"6068",14.5294694598961,0.698299676199458
"6096",15.8795493671662,0.671471469706557
"6088",23.5987171264487,0.665024030449539
"7064",13.2741067490889,0.632354444874119
"7116",20.2712229906849,0.666406894585914
"7153",10.9999343534734,0.584956550169706
"4008",17.4396749538988,0.684886230532225
"6046",9.28407445027313,0.604296676643197
"7060",10.1265356723986,0.631609908029992
"6053",12.5433939965232,0.677192783760003
"4026",16.3086395931813,0.659125332458764
"4035",27.0137123801084,0.489721320478981
"5064",11.8413916545903,0.619090579041566
"5087",26.9642513033171,0.503229964832427
"7163",11.2421878332932,0.712329769913945
"8083",16.2631678513864,0.74944198274523
"7136",10.190833055927,0.757488001378981
"6095",18.0840503714352,0.709444052462818
"7045",8.14081547646883,0.617141974326008
"6094",11.543523338832,0.805215289601985
"6086",20.6418452785281,0.698306550874937
"7109",12.5533710338451,0.602255518033172
"6025",14.6786390061265,0.658280318838588
"7138",14.2488463180264,0.736940404564258
"7128",11.5360448980774,0.642569646288436
"5118",12.1317839610507,0.668978797650614
"6029",8.3079014605553,0.696585774154118
"6062",14.4879386011949,0.888819400018079
"7114",11.5083359946486,0.594294527921254
