"Cow","sampled_exchange0_click_worker_mean","sampled_exchange0_click_worker_sd"
"4008",19.7495936129825,0.433136851913919
"4026",17.6161468470899,0.516444661436855
"4035",25.4333815841892,0.351241313865121
"5064",18.2094655510571,0.429698041814479
"5087",25.7237089676773,0.347194240744637
"5118",12.2520922646575,0.549072227567999
"6025",9.02878561365556,0.430027421745449
"6029",9.18058560717598,0.473440605098345
"6046",8.94427334394513,0.423914118627397
"6053",12.5234004729865,0.515679025820603
"6062",11.4937654660052,0.561779279285677
"6068",16.1102132410485,0.43374001525128
"6086",17.0125570091665,0.509605767934977
"6088",21.9681170726652,0.399933627630762
"6092",11.5284351202339,0.440881410783238
"6094",9.69541428725708,0.447247918118535
"6095",16.2595724427194,0.443539582524254
"6096",11.4425747777944,0.46800807813219
"7045",10.1315827350027,0.436626033770472
"7060",10.5196398109191,0.450082433506014
"7064",15.6546776212819,0.420990083732396
"7109",11.5855908497955,0.442017766123405
"7114",11.0324484742619,0.427107006145306
"7116",24.0700062571607,0.376471562979298
"7128",12.1293310115104,0.433941179648771
"7136",12.2255809924419,0.489204397145638
"7138",10.2415225491951,0.474568370908883
"7153",10.7595465596876,0.458611342484089
"7163",15.0791525504643,0.436306247520371
"8083",17.3988373059721,0.490711288237538
