"Cow","TM_experts_mean","TM_experts_sd"
"6092",10.2223990482214,1.33307776531949
"6088",22.9769428163704,1.47267565437379
"6068",16.2612200742661,1.42256400345028
"4008",13.0171459759689,1.34952722136777
"6053",10.4355189614121,1.36560242282421
"4035",25.6965204949438,1.12579204223983
"7060",12.4939664038245,1.30483898377548
"7045",9.06721109551267,1.37620648278522
"6094",12.1426364957791,1.40054152090074
"4026",15.1745031881833,1.43858957027838
"7153",10.876247906288,1.29949098787052
"6046",12.0538926260256,1.36640974261504
"5087",26.1307108984165,1.08714630416861
"6086",22.7909698617074,1.44542119848311
"7163",11.3148391900075,1.35337629307958
"6062",21.3652505768907,1.49248904063335
"6095",14.3050944596604,1.40609164459878
"6025",17.3941419998537,1.46380407530065
"5064",11.1975496329586,1.31877619679307
"7114",11.9624230695125,1.32128220519409
"8083",11.9429742243836,1.36708216212808
"6029",10.6913721993329,1.33271543319708
"7109",12.2481730780282,1.34317580167394
"7138",12.8487537670643,1.32397652562707
"7128",10.5692211702984,1.33012964973466
"7116",14.5108066075824,1.46604250664843
"7136",11.7566176716496,1.31096828512842
"6096",19.570437078135,1.52011048157545
"5118",13.0136637171946,1.36383824621189
"7064",10.9687957105276,1.30752425255484
