"Cow","weighted_experts_mean","weighted_experts_sd"
"4008",17.9076192503875,0.675844291696401
"4026",15.5265696419424,0.69926339731217
"4035",27.0206861039689,0.412002143119326
"5064",12.2413661687984,0.656025482788026
"5087",27.6862829754208,0.322447886579528
"5118",11.5926165276714,0.689815639031983
"6025",13.0505631993346,0.657855414251323
"6029",8.45787778427522,0.609971847258132
"6046",9.22526802063512,0.656816556441318
"6053",13.6498905717108,0.696860064215024
"6062",13.2179992282756,0.719982073993999
"6068",13.4691224218095,0.692405162144266
"6086",20.0530884503529,0.701441834502119
"6088",24.4364371927884,0.554525063641003
"6092",10.4490156850553,0.612080571544167
"6094",11.222468930622,0.693572435591284
"6095",18.7732823003968,0.678611347337305
"6096",14.7514369144671,0.652446312735302
"7045",8.66916835695074,0.605333327805169
"7060",9.88377307996803,0.643384329788179
"7064",13.3073758953337,0.810185304179254
"7109",12.4323088592105,0.636218957655128
"7114",11.6483944677726,0.693561529558294
"7116",19.8958346885426,0.648639406840899
"7128",11.9265249749298,0.666818142667807
"7136",10.0853391774708,0.649860713585628
"7138",14.2064824284331,0.6656184743046
"7153",11.174337963269,0.616401078677874
"7163",11.8567939341677,0.637382347872543
"8083",17.1820748060388,0.674299182030376
