"Cow","SB_experts_mean","SB_experts_sd"
"4008",17.7985643904813,1.47531128218202
"4026",17.7083874569653,1.43054956688629
"4035",25.9560568239372,1.15119679117196
"5064",12.1284821461098,1.29540788127185
"5087",25.1592471832261,1.27797465369065
"5118",14.5373256252317,1.45484446880105
"6025",11.6302999653059,1.42487682005823
"6029",9.76628288504518,1.30042623477624
"6046",9.48275801829913,1.32435657043524
"6053",10.6990150025196,1.33193545572307
"6062",11.7653783030546,1.27600213086829
"6068",14.1562897088948,1.40415330808689
"6086",20.6236628432441,1.46722502638985
"6088",20.4779611975498,1.46290913189768
"6092",10.7388078472337,1.36400369852323
"6094",11.9910212570185,1.40126881028609
"6095",19.9152657745313,1.47024537718217
"6096",12.8165633878578,1.40286088431805
"7045",9.31537326568522,1.31712554353893
"7060",10.5947635096557,1.28398317128025
"7064",12.3376188907117,1.29200472973806
"7109",11.6154764004219,1.31715583537074
"7114",14.9036110345651,1.369357602245
"7116",21.3828096485059,1.40368391724973
"7128",10.5094707107456,1.35973247561043
"7136",9.7097708503407,1.3055046985839
"7138",15.8456461065533,1.57385026673317
"7153",11.7019168844146,1.30367103529993
"7163",11.2563238476537,1.35390521257806
"8083",18.4758490342409,1.50606207733784
