"Cow","DW_experts_mean","DW_experts_sd"
"4008",22.0565163984554,1.35837195936646
"4026",16.6409899846677,1.51609007937459
"4035",25.9098859090841,1.08447998624911
"5064",13.5418215370716,1.28401299982849
"5087",25.2217757422116,1.13480262849815
"5118",10.7810321753373,1.39907674704532
"6025",15.2654279427086,1.47162873921861
"6029",7.16262641908729,1.2935164455309
"6046",7.83598951698228,1.28390584994457
"6053",14.0254548876881,1.36343330573832
"6062",13.6649309297619,1.39585662943451
"6068",10.537469573011,1.39158994755868
"6086",14.2861743471861,1.57173573231956
"6088",23.5732159374514,1.30448791902874
"6092",9.35755642408726,1.11496266294108
"6094",14.3898909279323,1.55098395915155
"6095",16.1260582055519,1.47619256969672
"6096",12.7983642687657,1.48103897330446
"7045",7.5778807926336,1.3073291997878
"7060",8.42838618766288,1.24905575751772
"7064",14.4212844489668,1.4210320522256
"7109",16.3944734156183,1.51919412078894
"7114",10.1360766574604,1.22988022289082
"7116",24.3466601726502,1.23963718439678
"7128",16.9384935908267,1.3878730163994
"7136",14.0365558698515,1.43960217753074
"7138",12.0978162522646,1.47091664446577
"7153",12.0276315931817,1.47471688190149
"7163",10.785379593421,1.38131957230392
"8083",14.6341802984208,1.43969583618528
