"Cow","GS","all_experts_mean","all_experts_sd","weighted_experts_mean","weighted_experts_sd"
5087,3.86666666666667,26.4941005798056,0.788261057568178,26.4941005798056,0.788261057568178
6088,3.53333333333333,24.9330285211126,0.945452828000429,24.9330285211126,0.945452828000429
4035,3.06666666666667,25.9231316545337,0.87447466422483,25.9231316545337,0.87447466422483
6086,2.93333333333333,16.4741461401969,1.17937551436932,16.4741461401969,1.17937551436932
6095,2.66666666666667,15.7278600088636,1.12100781433028,15.7278600088636,1.12100781433028
6068,2.6,12.0939116718456,1.00252891401211,12.0939116718456,1.00252891401211
7116,2.53333333333333,17.313461259723,1.04351920827607,17.313461259723,1.04351920827607
6053,2.46666666666667,13.9784627716906,1.02264799931673,13.9784627716906,1.02264799931673
6062,2.46666666666667,14.7922332095327,1.05229878791542,14.7922332095327,1.05229878791542
6096,2.4,13.7287080137625,1.03932851664693,13.7287080137625,1.03932851664693
6025,2.33333333333333,13.7994574326301,1.03438971566779,13.7994574326301,1.03438971566779
7060,2.33333333333333,10.6691604581876,1.00619764909184,10.6691604581876,1.00619764909184
7138,2.33333333333333,12.323794610159,1.02382125757631,12.323794610159,1.02382125757631
5118,2.26666666666667,11.3736263783839,1.01783812839116,11.3736263783839,1.01783812839116
7064,2.26666666666667,13.2369064831738,1.01244002580511,13.2369064831738,1.01244002580511
7128,2.26666666666667,13.8368387779208,1.05897706222959,13.8368387779208,1.05897706222959
8083,2.26666666666667,14.7472660308727,1.03578972157513,14.7472660308727,1.03578972157513
4008,2.2,17.4606729431706,1.06150295622554,17.4606729431706,1.06150295622554
4026,2.2,14.6709075803147,1.0438467595001,14.6709075803147,1.0438467595001
5064,2.13333333333333,12.8221534449904,0.956265770653912,12.8221534449904,0.956265770653912
6046,2.13333333333333,10.4960809900106,0.955453718572784,10.4960809900106,0.955453718572784
6094,2.13333333333333,13.3213963735495,1.02975807410489,13.3213963735495,1.02975807410489
7109,2.13333333333333,14.3483242775036,1.03089557356256,14.3483242775036,1.03089557356256
7136,2.13333333333333,12.9115778577346,1.03674896764552,12.9115778577346,1.03674896764552
7163,2.13333333333333,12.1026207308327,0.987491774833437,12.1026207308327,0.987491774833437
6029,2.06666666666667,9.76748235329494,0.990669854258931,9.76748235329494,0.990669854258931
6092,2.06666666666667,11.3586463264477,0.977699561275619,11.3586463264477,0.977699561275619
7153,2.06666666666667,12.2734800229866,0.967220086710567,12.2734800229866,0.967220086710567
7045,2,10.004204444904,0.983590215122937,10.004204444904,0.983590215122937
7114,2,12.0163586518655,1.00535081486097,12.0163586518655,1.00535081486097
