"Cow","WS_experts_mean","WS_experts_sd"
"4008",14.4224007256877,1.40779049720675
"4026",13.45751061661,1.39785298064605
"4035",24.4151693116268,1.42742912108515
"5064",12.1489195074235,1.4134597471057
"5087",26.138593739771,1.15062945368301
"5118",12.3425371718759,1.44179358267023
"6025",12.9412787663568,1.39658051462109
"6029",11.8928908000286,1.42626213860788
"6046",12.4549123340598,1.37274901502796
"6053",13.8538605347803,1.42234842427017
"6062",15.8198060638011,1.50977382219681
"6068",13.0221720093735,1.38972405449666
"6086",17.9490023371515,1.64511773993838
"6088",24.8927000840774,1.33130328896222
"6092",13.3344822844163,1.34180953788341
"6094",12.7837583526511,1.3936848616693
"6095",14.8676311675408,1.48497429196534
"6096",14.319674031146,1.42627885989178
"7045",11.9893698066009,1.41552484752407
"7060",12.6132083043775,1.41116486956061
"7064",12.7455823269614,1.37769594216517
"7109",12.9352008815461,1.41477011157857
"7114",13.4085617310957,1.41384035319914
"7116",12.8907654258937,1.39888898713953
"7128",11.8583607020095,1.41051130957809
"7136",12.462693945124,1.3905492595668
"7138",12.6666616723271,1.40234822566705
"7153",12.6413159948981,1.37611848529074
"7163",13.1317730351802,1.35684966269768
"8083",14.5992063356076,1.45826209026332
