"Cow","NV_DW_SB_TM_KI_experts_mean","NV_DW_SB_TM_KI_experts_sd"
"7136",10.0934360463178,0.520200747064621
"6086",21.2335125607032,0.59225673378132
"8083",15.6865380544201,0.593887237613256
"4026",16.7658770329344,0.595390592141906
"5064",11.2613793230063,0.558149006086209
"7128",11.0768457307456,0.547821576181447
"6094",11.5583054155813,0.672892415738305
"7163",10.7950987838812,0.558276646403098
"6062",15.1888018129299,0.582228838584661
"6053",12.5748865802595,0.623376792174964
"7138",13.6391967731653,0.570551414104302
"5118",11.1909119952633,0.573186858653187
"5087",26.8630448037694,0.445787636200521
"7045",7.78626502131676,0.544228425727518
"7153",11.0270070410322,0.606939917450917
"6096",15.5730370121865,0.617298233853984
"6088",24.0618526191858,0.555366208258303
"7114",12.4882237386915,0.688276213855586
"7116",21.1343825101689,0.595821975234382
"6025",15.0190690133785,0.706443274487671
"7064",12.3248548894856,0.584274164185136
"4035",27.3267791112535,0.416289856189948
"4008",18.1698824040843,0.627798371505976
"7060",9.88121859339887,0.514451962621939
"7109",12.2239631719723,0.821103063066309
"6029",7.92527104305054,0.576621608189666
"6095",18.7398014854523,0.623227068595336
"6046",9.89405854664762,0.57166529973719
"6068",14.2119002055159,0.601601646159978
"6092",9.28459868020182,0.531100524748732
