"Cow","sampled_milestone_max_click_worker_mean","sampled_milestone_max_click_worker_sd"
"4008",18.2139492224382,1.32465981443378
"4026",16.430936702756,1.37294806416248
"4035",25.621330615358,0.391090757511515
"5064",20.2799531546674,1.21336124425984
"5087",25.7224201537981,0.398465338591804
"5118",12.1551790318074,1.30947451029019
"6025",10.1858815872589,1.39516020378664
"6029",9.40193536497353,1.28871115991302
"6046",9.02102247878345,1.3291817579838
"6053",12.1151872537948,1.4180994151301
"6062",11.3781980099925,1.383109076213
"6068",15.868805538544,1.38053678440696
"6086",18.523787983079,0.541380943972555
"6088",19.4888398016743,1.28068012755624
"6092",10.7152928522465,1.35097757615152
"6094",7.3745488977131,1.35397733474936
"6095",18.753085234192,1.27178662179936
"6096",11.8012828863948,0.382857468213178
"7045",8.84640330982083,0.900909927256133
"7060",9.19991512165361,1.23261018223966
"7064",17.9915503842449,1.29503812923428
"7109",12.9213139502563,1.32242934618401
"7114",9.76322902613381,1.35555612538927
"7116",23.1304377536907,0.976538845779735
"7128",12.7411210733629,1.3515550767806
"7136",13.2455446818031,1.36131112471977
"7138",9.51158036150765,1.39728214181676
"7153",9.87627363760294,1.33694535804925
"7163",15.0677218473536,1.41541794598173
"8083",19.6532720830976,1.24928660086297
