"Cow","KI_experts_mean","KI_experts_sd"
"6094",12.4485504052072,0.972445731735597
"6095",21.2636132312979,1.03877118061266
"8083",14.5732826650196,1.09069196729069
"7114",16.5721773528955,1.07756749981337
"5087",24.9422736963012,0.962077361281434
"6062",18.7676664233767,1.19025636777452
"5118",6.83095210474881,1.03580876223788
"5064",8.47779478621705,1.00846296530852
"7163",9.7477923568312,1.06561077985708
"7153",12.5746945999512,1.46430438127447
"6053",13.2956219997012,1.0820142801432
"7116",23.9761026597194,1.05832776369441
"6096",14.4387561085016,1.07168705149042
"4008",20.8257117022263,1.10845324350122
"6025",15.5371064058253,1.11182977684928
"6086",22.4436325791332,1.02965805016014
"7064",8.90338685919175,1.06488577961018
"6088",24.3253946969877,0.996274658745109
"6068",12.4539234061916,1.03705276646549
"6029",6.96974185227379,1.03585124204261
"7138",13.2771691709925,1.25063527891624
"4035",26.6056724925485,0.888685200026852
"6092",8.73131399797309,1.25084184375211
"4026",18.6303249583959,1.00516520887981
"7136",10.9065898601214,1.23553851132977
"7045",6.4172953735617,0.972325735917657
"7128",8.89364345169906,0.976598430631294
"7109",11.22419440802,1.23012671933555
"6046",12.2475044497524,1.40207339704494
"7060",8.69811594533704,1.05409320284534
