"Cow","sampled_ind_exchange0_click_worker_mean","sampled_ind_exchange0_click_worker_sd"
"4008",16.5868651145067,0.44831795378036
"4026",17.1077958128508,0.445719405455364
"4035",22.0665847842193,0.452154988685628
"5064",15.90559109294,0.429678250472252
"5087",22.9115793438056,0.439089311179618
"5118",13.2467256249752,0.510014939848426
"6025",11.0766233595551,0.401573528946995
"6029",11.9819112575316,0.392002551551455
"6046",11.4382420183586,0.382154484398849
"6053",12.8301389181593,0.413400641542574
"6062",12.6293267392924,0.395294994214535
"6068",14.7771117850664,0.399210692761757
"6086",16.1217864474983,0.434947405038931
"6088",18.1961070857978,0.434414584118794
"6092",12.3700914604155,0.405568892235875
"6094",11.4199707508047,0.404230596785899
"6095",15.3412800106494,0.427388830089364
"6096",12.6605669885895,0.411260257747513
"7045",11.6193625131641,0.395454031877981
"7060",12.1026510086967,0.442941012762655
"7064",15.7072156820341,0.403733506874397
"7109",13.0084163030364,0.40266636680763
"7114",12.9482864678933,0.44649716297772
"7116",20.6296085296127,0.447707878817392
"7128",12.5327240793677,0.492270386994411
"7136",12.7415148347278,0.40839338612314
"7138",12.020953680488,0.404100723356213
"7153",12.130989193075,0.3971676668729
"7163",14.9181310397928,0.410454402611965
"8083",15.9718480730951,0.418844759901872
