"Cow","NV_DW_SB_experts_mean","NV_DW_SB_experts_sd"
"4008",19.419003600576,0.854431003955566
"4026",16.9308265696465,0.836588754139488
"4035",26.8187408866154,0.614534898278413
"5064",12.3065970141008,0.767007861669575
"5087",26.5590036607994,0.636822534333344
"5118",11.9942779286216,0.808389793399911
"6025",13.540079671212,0.809726816404087
"6029",7.66417061860209,0.74323929938143
"6046",8.37566027846013,0.771632241845027
"6053",13.5742227417722,0.807154404630127
"6062",12.2875885429058,0.78157824234238
"6068",14.0334142785169,0.852331795913143
"6086",19.9148240619689,0.845988005159943
"6088",23.4076326624736,0.795260255608323
"6092",9.51372993103223,0.761789540911504
"6094",10.9487189228057,0.764531064445142
"6095",19.5575260540006,0.871861441515099
"6096",14.3376591823409,0.859957232666486
"7045",7.65417119970408,0.760279456539262
"7060",9.3566949439691,0.752021549983451
"7064",14.1372355444218,0.829307035422588
"7109",12.4851686907184,0.787390756285229
"7114",11.5124802540727,0.77847984973152
"7116",22.4349089421872,0.809922832628437
"7128",12.0546739325608,0.892681474417906
"7136",9.43544640490251,0.778942405702241
"7138",14.7118698528803,0.880796834628743
"7153",10.853446201052,0.714285155087971
"7163",11.3971900912563,0.782151453265968
"8083",17.7830373358242,0.863032908902101
