"Cow","all_click_worker_mean","all_click_worker_sd"
"4008",20.3132728141543,0.330466303338322
"4026",18.158196733079,0.357871410958639
"4035",25.3964554122811,0.284042804103069
"5064",18.981968088852,0.412834333028028
"5087",25.6848580971236,0.285759611998215
"5118",13.157675243838,0.329257448266427
"6025",8.74017952713764,0.415246999519821
"6029",8.57422677685745,0.348980514818907
"6046",7.45582288977142,0.309307924569498
"6053",12.559590095715,0.548022350799147
"6062",11.4899557041843,0.361942324793815
"6068",16.3382837397317,0.378766876124469
"6086",18.242173602409,0.372870398464318
"6088",22.5219096956069,0.331615326539525
"6092",10.6472698377087,0.327700162301986
"6094",6.81090851962272,0.328732926396376
"6095",17.1806361596717,0.31444781960315
"6096",12.0990697500721,0.338965655892841
"7045",8.54161607562066,0.286369014821354
"7060",9.08148559752304,0.341485261304258
"7064",17.5159052293209,0.351777387649878
"7109",10.8994218593722,0.32191071656695
"7114",10.2760380078188,0.292024304225515
"7116",24.379537010022,0.289301859504837
"7128",11.9832143137221,0.470782324257333
"7136",12.6015432027443,0.303177017313252
"7138",9.21147770327115,0.376546474713128
"7153",10.6338283280807,0.342915149560032
"7163",16.6797846681985,0.409649541398655
"8083",18.8436953164888,0.33283944391046
