cow_L,cow_R,cow_L_URL,cow_R_URL,pair_id,question_type,expert_answer
7045,6062,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_130521_am_MVI_0162_short_30_7045.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_110621_am_MVI_0191_short_10_6062.MP4,21.0,,
6068,7136,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_280521_pm_MVI_0180_short_31_6068.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_110621_am_MVI_0193_short_23_7136.MP4,25.0,,
7138,7064,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_040621_am_MVI_0183_short_1_7138.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_040621_am_MVI_0183_short_8_7064.MP4,26.0,,
5064,7163,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_110621_am_MVI_0193_short_26_5064.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_210521_pm_MVI_0174_short_24_7163.MP4,20.0,,
6046,6088,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_040621_pm_MVI_0188_short_20_6046.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_040621_pm_MVI_0187_short_11_6088.MP4,29.0,,
6086,6053,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_110621_am_MVI_0192_short_22_6086.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_110621_am_MVI_0193_short_31_6053.MP4,28.0,,
7138,6053,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_040621_am_MVI_0183_short_1_7138.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_110621_am_MVI_0193_short_31_6053.MP4,31.0,,
4008,7060,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_280521_am_MVI_0176_short_17_4008.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_040621_pm_MVI_0188_short_33_7060.MP4,32.0,,
6095,8083,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_280521_am_MVI_0178_short_51_6095.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_210521_pm_MVI_0175_short_37_8083.MP4,33.0,,
7109,5118,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_070521_am_MVI_0003_short_14_7109.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_070521_pm_MVI_0159_short_22_5118.MP4,34.0,,
6029,7128,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_130521_am_MVI_0162_short_19_6029.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_010421_MVI_0114_short_18_7128.MP4,35.0,,
7045,5118,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_130521_am_MVI_0162_short_30_7045.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_070521_pm_MVI_0159_short_22_5118.MP4,30.0,,
5087,4035,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_280521_pm_MVI_0180_short_27_5087.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_280521_am_MVI_0178_short_47_4035.MP4,40.0,,
7128,4035,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_010421_MVI_0114_short_18_7128.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_280521_am_MVI_0178_short_47_4035.MP4,43.0,pos_attention_easy,2.0
6062,6053,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_110621_am_MVI_0191_short_10_6062.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_110621_am_MVI_0193_short_31_6053.MP4,42.0,,
8083,7163,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_210521_pm_MVI_0175_short_37_8083.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_210521_pm_MVI_0174_short_24_7163.MP4,37.0,,
4026,4008,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_090421_pm_MVI_0125_short_8_4026.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_280521_am_MVI_0176_short_17_4008.MP4,38.0,,
7128,6094,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_010421_MVI_0114_short_18_7128.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_040621_pm_MVI_0189_short_34_6094.MP4,39.0,,
6062,7114,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_110621_am_MVI_0191_short_10_6062.MP4,https://skyshengtest1.s3.us-west-2.amazonaws.com/ubc_phase2/compressed_280521_am_MVI_0177_short_31_7114.MP4,36.0,,
